%f,%s,%f,%f,%f,%f,%f,%f,%f,%f,%f,%f,%f,%f,%f,%f,%f,%f,%f,%f,%f,%f,%f,%f,%f
n,name,bus,opf_p_mw,slack,sbase,vbase,fbase,vdc,rf1,lf1,cf,rshf,TXR.sbase,TXR.r1,TXR.l1,TXR.r2,TXR.l2,TXR.rm,TXR.lm,bet,kp_pll,ki_pll,kp_cc,ki_cc
1,GFLIbus3,3,50,0,1.00E+08,4.80E+02,60,4000,0.02,0.1,10,1,1.00E+08,0.01,0.1,0.02,0.1,1000,1000,0.75,5,20,1,25
2,GFLI1bus4,4,20,0,1.00E+08,4.80E+02,60,4000,0.02,0.1,10,1,1.00E+08,0.01,0.1,0.02,0.1,1000,1000,0.75,5,20,1,25
3,GFLI2bus4,4,30,0,1.00E+08,4.80E+02,60,4000,0.02,0.1,10,1,1.00E+08,0.01,0.1,0.02,0.1,1000,1000,0.75,5,20,1,25
