%f,%s,%f,%f,%f,%f,%f,%f,%f,%f,%f
n,name,bus_out,bus_in,sbase,vbase,fbase,r,l,rsh,csh
1,tx_23,2,3,1.00E+08,2.30E+05,60,0.02,0.2,26.02174377,2.602174377
2,tx_34,3,4,1.00E+08,2.30E+05,60,0.02,0.2,26.02174377,2.602174377
